,customer_id,buyer_business_type,district_id,district_name_ar,city_name_en,area_name_ar,geo_latitude,geo_longitude,registration_date,avg_ticket_size,number_of_transactions,number_of_cancelled_transactions,last_order_date,total_orders_amount,buyer_business_type_encoded,cluster,promo
33,3139,كشك,100128.0,المعادي,Cairo,المعادي,,,2020-07-12,1918.155,2.0,1.0,2020-10-07,3836.31,1,1,+5000 spendings (10% off)
36,3223,سوبر ماركت,100131.0,المطرية,Cairo,الاميريه ,30.1065,31.3061,2020-04-11,3604.965,2.0,0.0,2020-05-27,7209.93,2,1,+5000 spendings (10% off)
37,3245,سوبر ماركت,100107.0,عين شمس,Cairo,عين شمس,,,2020-04-12,514.7816666666666,6.0,2.0,2020-10-03,3088.69,2,1,+5000 spendings (10% off)
38,3246,سوبر ماركت,100128.0,المعادي,Cairo,المعادي,,,2020-04-12,3606.663333333333,9.0,2.0,2021-03-06,32459.97,2,3,+15000 spendings (18% off)
39,3279,سوبر ماركت,100122.0,حدائق القبة,Cairo,كوبري القبة,30.08524,31.29303,2020-04-13,1594.7299999999998,3.0,1.0,2021-01-30,4784.19,2,1,+5000 spendings (10% off)
40,3292,سوبر ماركت,100122.0,حدائق القبة,Cairo,المطريه,30.0858,31.2957,2020-04-13,1847.96,5.0,2.0,2021-02-22,9239.8,2,1,+5000 spendings (10% off)
43,3382,سوبر ماركت,100128.0,المعادي,Cairo,المعادي,29.9726,31.2515,2020-04-15,1828.0530769230768,13.0,1.0,2021-03-10,23764.69,2,3,+15000 spendings (18% off)
44,3405,سوبر ماركت,100134.0,مدينه نصر,Cairo,مدينه نصر,31.33712,30.03918,2020-04-16,1077.6333333333332,6.0,4.0,2021-02-24,6465.799999999999,2,1,+5000 spendings (10% off)
45,3429,سوبر ماركت,100125.0,حلوان,Cairo,,29.85812,31.31348,2020-04-16,10020.2,2.0,2.0,2020-07-25,20040.4,2,3,+15000 spendings (18% off)
46,3471,سوبر ماركت,100107.0,عين شمس,Cairo,عين شمس,30.0417,31.21152,2020-04-18,1176.58,1.0,0.0,2020-07-13,1176.58,2,1,+5000 spendings (10% off)
47,3513,سوبر ماركت,100110.0,المرج,Cairo,المرج,30.14715,31.33385,2020-04-19,3021.816666666666,3.0,1.0,2020-10-20,9065.45,2,1,+5000 spendings (10% off)
49,3561,سوبر ماركت,100128.0,المعادي,Cairo,المعادي,29.97653,31.25715,2020-04-21,896.8279999999999,5.0,1.0,2021-01-30,4484.139999999999,2,1,+5000 spendings (10% off)
51,3607,سوبر ماركت,100128.0,المعادي,Cairo,حدائق المعادي,29.97137,31.24956,2020-04-23,877.01,1.0,1.0,2020-11-06,877.01,2,1,+5000 spendings (10% off)
52,3637,سوبر ماركت,100110.0,المرج,Cairo,المرج,30.16195,31.3277,2020-04-26,1120.975,4.0,1.0,2021-01-21,4483.9,2,1,+5000 spendings (10% off)
53,3734,سوبر ماركت,100131.0,المطرية,Cairo,,31.20538,30.01059,2020-04-29,885.0,1.0,1.0,2020-05-22,885.0,2,1,+5000 spendings (10% off)
54,4028,سوبر ماركت,100149.0,الزاويه الحمراء,Cairo,الزاويه الحمراء,31.26057,30.07599,2020-05-03,1630.4433333333334,3.0,0.0,2020-10-07,4891.33,2,1,+5000 spendings (10% off)
56,4147,سوبر ماركت,100104.0,٦ اكتوبر,Giza,,29.93245,31.0493,2020-05-04,2468.255,2.0,1.0,2020-09-17,4936.509999999999,2,1,+5000 spendings (10% off)
57,4340,سوبر ماركت,100110.0,المرج,Cairo,المرج القديمة,30.06111,31.22413,2020-05-06,3048.379090909091,11.0,7.0,2021-03-12,33532.17,2,3,+15000 spendings (18% off)
58,4349,سوبر ماركت,100110.0,المرج,Cairo,المرج القديمة,30.06111,31.22413,2020-05-06,1536.75,1.0,0.0,2020-05-13,1536.75,2,1,+5000 spendings (10% off)
59,4575,سوبر ماركت,100151.0,عزبة النخل,Cairo,عزبة النخل,30.1446,31.31555,2020-05-06,1745.01,6.0,3.0,2021-03-16,10470.06,2,1,+5000 spendings (10% off)
61,4835,سوبر ماركت,100105.0,العباسية,Cairo,,30.06961,31.27389,2020-05-09,2180.265,2.0,2.0,2020-08-17,4360.53,2,1,+5000 spendings (10% off)
62,5059,سوبر ماركت,100116.0,الدقي,Giza,الدقي,29.95605,31.1582,2020-05-10,2107.824285714285,7.0,5.0,2021-03-13,14754.77,2,1,+5000 spendings (10% off)
63,5161,كشك,100119.0,فيصل,Giza,فيصل,30.0018,31.1471,2020-05-11,883.4333333333333,18.0,5.0,2021-02-28,15901.8,5,3,+15000 spendings (18% off)
64,5250,سوبر ماركت,100152.0,مدينة السلام,Cairo,السلام,30.1415,31.3945,2020-05-11,3620.8271428571434,14.0,4.0,2021-03-16,50691.58,2,3,+15000 spendings (18% off)
65,5261,سوبر ماركت,100162.0,الوراق,Giza,وراق العرب,30.10353,31.21596,2020-05-11,260.0,1.0,0.0,2020-09-15,260.0,2,1,+5000 spendings (10% off)
66,5408,سوبر ماركت,100150.0,الوايلي,Cairo,الأميرية الشمالية,30.1009,31.2861,2020-05-12,1436.8435714285713,14.0,0.0,2021-02-25,20115.81,2,3,+15000 spendings (18% off)
67,5481,سوبر ماركت,100151.0,عزبة النخل,Cairo,عزبة النخل,30.1472,31.3236,2020-05-12,2570.119411764706,17.0,10.0,2021-03-13,43692.03,2,3,+15000 spendings (18% off)
68,5543,سوبر ماركت,100122.0,حدائق القبة,Cairo,مصر والسودان,30.07045,31.271,2020-05-12,799.67,3.0,1.0,2021-02-22,2399.01,2,1,+5000 spendings (10% off)
69,5551,كشك,100157.0,بولاق الدكرور,Giza,زنين,30.03391,31.18832,2020-05-12,1433.43625,8.0,2.0,2021-02-01,11467.49,1,1,+5000 spendings (10% off)
70,5580,سوبر ماركت,100122.0,حدائق القبة,Cairo,مصر والسودان,30.0792,31.27425,2020-05-12,1009.39,4.0,1.0,2020-09-28,4037.56,2,1,+5000 spendings (10% off)
71,5589,سوبر ماركت,100123.0,الهرم,Giza,الهرم,31.19841,30.03843,2020-05-12,250.0,1.0,0.0,2020-09-27,250.0,2,1,+5000 spendings (10% off)
72,5696,سوبر ماركت,100157.0,بولاق الدكرور,Giza,ابو اتاته,30.0345,31.1891,2020-05-13,470.17,2.0,0.0,2020-10-21,940.34,2,1,+5000 spendings (10% off)
75,6068,سوبر ماركت,100157.0,بولاق الدكرور,Giza,ابو اتاته,31.17909,30.03731,2020-05-14,961.745,6.0,1.0,2021-03-13,5770.469999999999,2,1,+5000 spendings (10% off)
76,6117,سوبر ماركت,100110.0,المرج,Cairo,كفر الشرفا,30.1421,31.3522,2020-05-15,1349.656,20.0,3.0,2021-02-21,26993.12,2,3,+15000 spendings (18% off)
77,6154,سوبر ماركت,100110.0,المرج,Cairo,المرج القديمة,31.20538,29.98927,2020-05-16,1360.58,1.0,1.0,2020-06-10,1360.58,2,1,+5000 spendings (10% off)
78,6155,سوبر ماركت,100172.0,بهتيم,Cairo,بهتيم,30.13365,31.27835,2020-05-16,1180.685,4.0,1.0,2021-02-27,4722.74,2,1,+5000 spendings (10% off)
80,6246,سوبر ماركت,100119.0,فيصل,Giza,ابو اتاته,29.98927,31.20538,2020-05-16,260.0,1.0,0.0,2020-09-22,260.0,2,1,+5000 spendings (10% off)
81,6272,كشك,100173.0,ميت نما,Cairo,ميت نما,30.1424,31.24615,2020-05-16,2055.122413793103,29.0,7.0,2021-03-15,59598.55,1,0,+10000 spendings (15% off)
82,6275,سوبر ماركت,100126.0,امبابة,Giza,جزيرة امبابة,30.0911,31.218,2020-05-16,717.8,5.0,1.0,2021-02-01,3589.0,2,1,+5000 spendings (10% off)
83,6281,عطارة,100119.0,فيصل,Giza,المريوطيه,,,2020-05-16,2093.23,1.0,0.0,2021-02-04,2093.23,3,1,+5000 spendings (10% off)
84,6303,سوبر ماركت,100119.0,فيصل,Giza,فيصل,29.9974,31.1401,2020-05-16,1121.914,5.0,1.0,2021-02-21,5609.57,2,1,+5000 spendings (10% off)
85,6305,سوبر ماركت,100184.0,شبرا الخيمه,Cairo,شبرا الخيمه,30.1437,31.24905,2020-05-16,991.5,1.0,0.0,2020-12-19,991.5,2,1,+5000 spendings (10% off)
86,6319,سوبر ماركت,100142.0,شبرا مصر,Cairo,الخلفاوى,30.0959,31.2459,2020-05-16,993.9059999999998,15.0,7.0,2021-01-21,14908.589999999998,2,1,+5000 spendings (10% off)
87,6346,سوبر ماركت,100131.0,المطرية,Cairo,الاميريه ,,,2020-05-16,751.5,2.0,0.0,2020-12-25,1503.0,2,1,+5000 spendings (10% off)
91,6632,سوبر ماركت,100153.0,الخصوص,Cairo,الخصوص,,,2020-05-17,2251.65,5.0,1.0,2021-01-28,11258.25,2,1,+5000 spendings (10% off)
94,6699,سوبر ماركت,100162.0,الوراق,Giza,وراق العرب,30.10005,31.21055,2020-05-17,807.3889999999999,10.0,2.0,2020-10-19,8073.889999999999,2,1,+5000 spendings (10% off)
95,6704,سوبر ماركت,100107.0,عين شمس,Cairo,عين شمس,30.14367,31.32144,2020-05-17,2437.785,2.0,1.0,2021-03-03,4875.57,2,1,+5000 spendings (10% off)
96,6782,سوبر ماركت,100159.0,حي الجيزة,Giza,محطة القطار,30.00816,31.20996,2020-05-17,824.0625,4.0,1.0,2020-07-28,3296.25,2,1,+5000 spendings (10% off)
98,7032,سوبر ماركت,100149.0,الزاويه الحمراء,Cairo,الزاويه الحمراء,30.09352,31.27367,2020-05-18,3206.8099999999995,3.0,0.0,2021-03-11,9620.429999999998,2,1,+5000 spendings (10% off)
99,7097,سوبر ماركت,100143.0,شبرا الخيمة,Cairo,شبرا الخيمة,31.20169,30.05153,2020-05-19,499.8,1.0,0.0,2020-10-24,499.8,2,1,+5000 spendings (10% off)
101,7214,سوبر ماركت,100143.0,شبرا الخيمة,Cairo,شبرا الخيمة,31.18248,30.0369,2020-05-20,1579.5655555555554,9.0,3.0,2021-02-24,14216.089999999998,2,1,+5000 spendings (10% off)
102,7237,سوبر ماركت,100143.0,شبرا الخيمة,Cairo,شبرا الخيمة,31.18248,30.0369,2020-05-20,1092.3272222222222,18.0,4.0,2021-03-14,19661.89,2,3,+15000 spendings (18% off)
103,7246,سوبر ماركت,100110.0,المرج,Cairo,المرج الجديدة,30.1668,31.32885,2020-05-20,6617.530624999999,16.0,4.0,2021-03-09,105880.49,2,0,+10000 spendings (15% off)
104,7288,سوبر ماركت,100184.0,شبرا الخيمه,Cairo,شبرا الخيمه,31.24595,30.14354,2020-05-20,1353.68,1.0,1.0,2020-07-28,1353.68,2,1,+5000 spendings (10% off)
105,7349,سوبر ماركت,100143.0,شبرا الخيمة,Cairo,شبرا الخيمة,30.05169,31.20538,2020-05-20,1763.0,1.0,1.0,2020-09-19,1763.0,2,1,+5000 spendings (10% off)
107,7384,كشك,100143.0,شبرا الخيمة,Cairo,شبرا الخيمة,30.1299,31.2452,2020-05-21,580.05,2.0,0.0,2020-10-13,1160.1,5,1,+5000 spendings (10% off)
108,7419,عطارة,100143.0,شبرا الخيمة,Cairo,شبرا الخيمة,30.03089,31.20538,2020-05-21,881.9374999999999,8.0,0.0,2021-02-24,7055.499999999999,3,1,+5000 spendings (10% off)
110,7477,سوبر ماركت,100143.0,شبرا الخيمة,Cairo,شبرا الخيمة,30.03089,31.20538,2020-05-21,849.1,1.0,0.0,2020-12-09,849.1,2,1,+5000 spendings (10% off)
111,7542,كشك,100126.0,امبابة,Giza,جزيرة امبابة,30.079,31.21594,2020-05-27,1666.7033333333331,3.0,0.0,2021-01-29,5000.11,5,1,+5000 spendings (10% off)
113,7608,سوبر ماركت,100134.0,مدينه نصر,Cairo,زهراء مدينه نصر,30.06231,31.38249,2020-05-28,1343.54,1.0,0.0,2020-10-21,1343.54,2,1,+5000 spendings (10% off)
114,7742,سوبر ماركت,100126.0,امبابة,Giza,الكيت كات,31.2086,30.0725,2020-05-30,2452.626,5.0,2.0,2021-03-04,12263.13,2,1,+5000 spendings (10% off)
115,7749,سوبر ماركت,100153.0,الخصوص,Cairo,الخصوص,30.1564,31.36965,2020-05-30,4779.171428571428,14.0,9.0,2020-10-15,66908.4,2,0,+10000 spendings (15% off)
116,7785,عطارة,100126.0,امبابة,Giza,جزيرة امبابة,30.07211,31.20708,2020-05-30,1062.73,3.0,2.0,2021-03-07,3188.19,3,1,+5000 spendings (10% off)
117,7786,سوبر ماركت,100142.0,شبرا مصر,Cairo,روض الفرج,30.0882,31.2469,2020-05-30,570.36,1.0,0.0,2020-10-12,570.36,2,1,+5000 spendings (10% off)
120,7835,سوبر ماركت,100126.0,امبابة,Giza,جزيرة امبابة,30.0818,31.1978,2020-05-31,2809.91,1.0,0.0,2020-08-09,2809.91,2,1,+5000 spendings (10% off)
121,7859,سوبر ماركت,100126.0,امبابة,Giza,جزيرة امبابة,30.0825,31.2029,2020-05-31,1022.1675,4.0,1.0,2021-03-07,4088.67,2,1,+5000 spendings (10% off)
122,7872,عطارة,100162.0,الوراق,Giza,وراق العرب,30.10575,31.2042,2020-06-01,694.0799999999999,5.0,2.0,2021-02-28,3470.4,3,1,+5000 spendings (10% off)
124,7929,سوبر ماركت,100142.0,شبرا مصر,Cairo,الخلفاوى,30.08815,31.25358,2020-06-01,795.27,2.0,0.0,2020-10-13,1590.54,2,1,+5000 spendings (10% off)
125,8018,سوبر ماركت,100162.0,الوراق,Giza,وراق العرب,30.0941,31.20625,2020-06-02,634.0,2.0,0.0,2020-10-09,1268.0,2,1,+5000 spendings (10% off)
126,8024,عطارة,100162.0,الوراق,Giza,وراق الحضر,30.1018,31.21735,2020-06-02,1202.88,3.0,1.0,2021-02-28,3608.64,3,1,+5000 spendings (10% off)
127,8077,سوبر ماركت,100128.0,المعادي,Cairo,المعادي,30.16662,31.32887,2020-06-02,527.5,2.0,1.0,2020-06-07,1055.0,2,1,+5000 spendings (10% off)
128,8094,سوبر ماركت,100126.0,امبابة,Giza,الكيت كات,30.0926,31.2106,2020-06-02,5802.842142857143,28.0,18.0,2020-10-08,162479.58,2,2,+17000 spendings (20% off)
129,8127,سوبر ماركت,100123.0,الهرم,Giza,نزلة السيسي,29.9858,31.14915,2020-06-03,817.6285714285714,7.0,3.0,2020-10-10,5723.4,2,1,+5000 spendings (10% off)
131,8200,سوبر ماركت,100110.0,المرج,Cairo,المرج القديمة,30.1426,31.33075,2020-06-03,906.03,3.0,1.0,2021-03-09,2718.09,2,1,+5000 spendings (10% off)
132,8211,سوبر ماركت,100152.0,مدينة السلام,Cairo,السلام,31.39821,30.1457,2020-06-03,330.058,5.0,2.0,2020-10-04,1650.29,2,1,+5000 spendings (10% off)
133,8224,سوبر ماركت,100126.0,امبابة,Giza,المنيره,30.0862,31.2087,2020-06-03,875.3288888888889,9.0,1.0,2021-03-03,7877.96,2,1,+5000 spendings (10% off)
134,8227,سوبر ماركت,100123.0,الهرم,Giza,كفر الجبل,29.96925,31.15119,2020-06-03,981.34,3.0,1.0,2020-09-12,2944.02,2,1,+5000 spendings (10% off)
135,8258,سوبر ماركت,100216.0,المعصرة,Cairo,,29.91354,31.28928,2020-06-04,3519.34,2.0,1.0,2020-07-14,7038.679999999999,2,1,+5000 spendings (10% off)
136,8269,سوبر ماركت,100119.0,فيصل,Giza,الطوابق,30.00175,31.1505,2020-06-04,1568.4941666666666,12.0,3.0,2021-03-08,18821.93,2,3,+15000 spendings (18% off)
137,8321,سوبر ماركت,100113.0,الزيتون,Cairo,سليم,30.1034,31.3108,2020-06-05,2183.713333333333,3.0,2.0,2020-11-23,6551.139999999999,2,1,+5000 spendings (10% off)
138,8349,كشك,100119.0,فيصل,Giza,العشرين,30.0073,31.18435,2020-06-06,260.0,1.0,0.0,2020-09-22,260.0,5,1,+5000 spendings (10% off)
139,8389,سوبر ماركت,100126.0,امبابة,Giza,الكيت كات,30.09165,31.218,2020-06-06,1029.9799999999998,3.0,1.0,2020-07-19,3089.94,2,1,+5000 spendings (10% off)
140,8462,سوبر ماركت,100110.0,المرج,Cairo,المرج الجديدة,30.15835,31.30671,2020-06-06,5164.373333333333,3.0,1.0,2020-06-27,15493.12,2,3,+15000 spendings (18% off)
141,8520,سوبر ماركت,100119.0,فيصل,Giza,العشرين,30.01675,31.1822,2020-06-06,2508.134,5.0,0.0,2021-02-06,12540.669999999998,2,1,+5000 spendings (10% off)
143,8604,سوبر ماركت,100126.0,امبابة,Giza,الكيت كات,30.0885,31.20895,2020-06-07,517.44,1.0,0.0,2020-10-11,517.44,2,1,+5000 spendings (10% off)
144,8638,عطارة,100126.0,امبابة,Giza,الكيت كات,30.08707,31.20256,2020-06-07,1299.5449999999998,2.0,0.0,2020-12-08,2599.09,3,1,+5000 spendings (10% off)
145,8647,عطارة,100126.0,امبابة,Giza,الكيت كات,30.08729,31.20174,2020-06-07,5011.5,1.0,0.0,2020-09-22,5011.5,3,1,+5000 spendings (10% off)
146,8651,سوبر ماركت,100152.0,مدينة السلام,Cairo,السلام,31.20126,30.08737,2020-06-07,1224.51,1.0,1.0,2020-09-23,1224.51,2,1,+5000 spendings (10% off)
147,8657,سوبر ماركت,100202.0,جسر السويس,Cairo,جسر السويس,30.14579,31.39745,2020-06-07,1021.9466666666666,3.0,0.0,2021-01-31,3065.84,2,1,+5000 spendings (10% off)
148,8671,سوبر ماركت,100112.0,العمرانية,Giza,العمرانية الغربية,29.98183,31.20343,2020-06-07,540.96,1.0,0.0,2020-10-31,540.96,2,1,+5000 spendings (10% off)
149,8729,سوبر ماركت,100152.0,مدينة السلام,Cairo,السلام,31.39441,30.14672,2020-06-07,448.5,1.0,0.0,2020-09-27,448.5,2,1,+5000 spendings (10% off)
150,8734,سوبر ماركت,100112.0,العمرانية,Giza,العمرانية الغربية,29.9819,31.2037,2020-06-07,605.0949999999999,4.0,0.0,2020-10-17,2420.38,2,1,+5000 spendings (10% off)
151,8757,كشك,100137.0,النزهه الجديده,Cairo,النزهه الجديده,30.12689,31.3762,2020-06-07,946.52,3.0,0.0,2021-01-26,2839.56,5,1,+5000 spendings (10% off)
153,8788,سوبر ماركت,100112.0,العمرانية,Giza,العمرانية الغربية,29.98998,31.19274,2020-06-07,1309.182857142857,7.0,1.0,2021-03-04,9164.28,2,1,+5000 spendings (10% off)
154,8805,سوبر ماركت,100112.0,العمرانية,Giza,العمرانية الغربية,29.9806,31.2039,2020-06-07,1515.7071428571428,7.0,4.0,2020-12-19,10609.95,2,1,+5000 spendings (10% off)
155,8813,سوبر ماركت,100149.0,الزاويه الحمراء,Cairo,الزاويه الحمراء,30.05771,31.18248,2020-06-07,1551.34,1.0,0.0,2020-08-30,1551.34,2,1,+5000 spendings (10% off)
156,8830,سوبر ماركت,100112.0,العمرانية,Giza,العمرانية الغربية,29.9818,31.204,2020-06-07,623.9675,4.0,2.0,2020-10-11,2495.87,2,1,+5000 spendings (10% off)
157,8855,سوبر ماركت,100142.0,شبرا مصر,Cairo,روض الفرج,30.07375,31.23995,2020-06-07,881.9833333333332,6.0,1.0,2021-03-02,5291.9,2,1,+5000 spendings (10% off)
159,8872,عطارة,100146.0,باب الشعريه,Cairo,باب الشعريه,,,2020-06-07,2909.84375,8.0,3.0,2021-03-09,23278.75,3,3,+15000 spendings (18% off)
160,8886,سوبر ماركت,100112.0,العمرانية,Giza,العمرانية الغربية,29.98983,31.1954,2020-06-07,14798.275,6.0,4.0,2021-01-31,88789.65,2,0,+10000 spendings (15% off)
161,8955,سوبر ماركت,100215.0,طرة,Cairo,,29.94356,31.27463,2020-06-08,1471.375,2.0,2.0,2020-08-11,2942.75,2,1,+5000 spendings (10% off)
162,9047,سوبر ماركت,100152.0,مدينة السلام,Cairo,السلام,31.38537,30.13966,2020-06-08,978.665,2.0,1.0,2020-10-04,1957.33,2,1,+5000 spendings (10% off)
164,9250,سوبر ماركت,100112.0,العمرانية,Giza,العمرانية الغربية,29.994,31.1912,2020-06-08,2730.0366666666664,15.0,0.0,2021-02-22,40950.55,2,3,+15000 spendings (18% off)
165,9272,سوبر ماركت,100179.0,بشتيل,Giza,بشتيل,30.08661,31.18733,2020-06-08,2943.27,1.0,1.0,2020-06-24,2943.27,2,1,+5000 spendings (10% off)
166,9409,سوبر ماركت,100143.0,شبرا الخيمة,Cairo,شبرا الخيمة,30.13,31.242,2020-06-09,1508.1066666666666,6.0,0.0,2020-08-29,9048.64,2,1,+5000 spendings (10% off)
167,9446,سوبر ماركت,100123.0,الهرم,Giza,المنصورية,29.9762,31.1466,2020-06-09,1003.06,6.0,5.0,2021-02-26,6018.36,2,1,+5000 spendings (10% off)
168,9456,سوبر ماركت,100162.0,الوراق,Giza,,30.1742,31.1185,2020-06-09,3255.056428571428,14.0,5.0,2021-03-02,45570.78999999999,2,3,+15000 spendings (18% off)
171,9542,سوبر ماركت,100119.0,فيصل,Giza,حسن محمد,30.0026,31.17165,2020-06-09,535.905,2.0,0.0,2020-10-20,1071.81,2,1,+5000 spendings (10% off)
172,9561,سوبر ماركت,100137.0,النزهه الجديده,Cairo,النزهه الجديده,30.13615,31.3715,2020-06-09,746.631,10.0,3.0,2021-03-02,7466.309999999999,2,1,+5000 spendings (10% off)
174,9579,سوبر ماركت,100119.0,فيصل,Giza,العشرين,30.12282,31.25118,2020-06-09,300.0,1.0,0.0,2020-10-01,300.0,2,1,+5000 spendings (10% off)
175,9632,سوبر ماركت,100152.0,مدينة السلام,Cairo,السلام,30.16206,31.40863,2020-06-09,2622.23,1.0,0.0,2020-07-19,2622.23,2,1,+5000 spendings (10% off)
176,9656,عطارة,100149.0,الزاويه الحمراء,Cairo,الزاويه الحمراء,30.0876,31.27185,2020-06-09,2028.3190909090908,11.0,4.0,2021-02-18,22311.51,3,3,+15000 spendings (18% off)
177,9711,سوبر ماركت,100179.0,بشتيل,Giza,بشتيل,30.08688,31.19035,2020-06-09,13238.33,2.0,2.0,2020-06-11,26476.66,2,3,+15000 spendings (18% off)
179,9731,سوبر ماركت,100179.0,بشتيل,Giza,,30.08755,31.18271,2020-06-10,664.4399999999999,2.0,1.0,2021-03-03,1328.88,2,1,+5000 spendings (10% off)
181,9858,عطارة,100162.0,الوراق,Giza,وراق العرب,30.1,31.2057,2020-06-10,2820.418333333333,6.0,2.0,2021-03-09,16922.51,3,3,+15000 spendings (18% off)
182,9865,سوبر ماركت,100173.0,ميت نما,Cairo,ميت نما,31.23194,30.143,2020-06-10,1010.005,4.0,2.0,2020-09-26,4040.02,2,1,+5000 spendings (10% off)
183,9881,سوبر ماركت,100119.0,فيصل,Giza,العشرين,30.01445,31.1952,2020-06-10,1738.0742105263157,19.0,4.0,2021-03-03,33023.41,2,3,+15000 spendings (18% off)
187,10018,سوبر ماركت,100169.0,المنيب,Giza,ميدان المنيب,31.22645,30.12946,2020-06-11,2100.388,5.0,0.0,2021-02-25,10501.94,2,1,+5000 spendings (10% off)
189,10060,سوبر ماركت,100142.0,شبرا مصر,Cairo,الخلفاوى,30.09425,31.2486,2020-06-11,1111.89,6.0,1.0,2021-02-11,6671.339999999999,2,1,+5000 spendings (10% off)
